CIC_MEM_VERS = 1.0
CREATION_DATE =2023-37-04T21:04:22
ORIGINATOR = IONSAT TEAM

META_START

OBJECT_NAME =IONSAT
OBJECT_ID =IONSAT X21
USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = GEOGRAPHICAL_COORDINATES

TIME_SYSTEM =UTC

META_STOP

2024-09-21T18:48:59 -6.6224558008072 102.457354626397
2024-09-21T18:49:10 -7.28155570013051 102.405713572392
2024-09-21T18:49:19 -7.94061396310886 102.353800482559
2024-09-21T18:49:29 -8.59962679312061 102.301589721042
2024-09-21T18:49:40 -9.25859038587176 102.249055331514
2024-09-21T18:49:49 -9.91750092848982 102.196170505828
2024-09-21T18:49:59 -10.5763545985533 102.142908566616
2024-09-21T18:50:10 -11.2351475630484 102.089242424072
2024-09-21T18:50:19 -11.8938759772467 102.035144047099
2024-09-21T18:50:29 -12.5525359834972 101.980585431854
2024-09-21T18:50:40 -13.2111237099268 101.925538070761
2024-09-21T18:50:49 -13.8696352690406 101.869972404001
2024-09-21T18:51:00 -14.5280667562168 101.813858969074
2024-09-21T18:51:10 -15.1864142480835 101.757167009088
2024-09-21T18:51:19 -15.8446738007778 101.699865614335
2024-09-21T18:51:30 -16.5028414480681 101.641923179174
2024-09-21T18:51:40 -17.1609131993375 101.583306847002
2024-09-21T18:51:49 -17.818885037416 101.523983483395
2024-09-21T18:52:00 -18.4767529162535 101.463919116189
2024-09-21T18:52:10 -19.1345127584174 101.403078389736
2024-09-21T18:52:19 -19.792160452409 101.34142551631
2024-09-21T18:52:30 -20.4496918497832 101.278923720509
2024-09-21T18:52:39 -21.1071027620579 101.215534681014
2024-09-21T18:52:49 -21.7643889574024 101.151219474072
2024-09-21T18:53:00 -22.4215461570842 101.085938014514
2024-09-21T18:53:09 -23.0785700316645 101.019648477188
2024-09-21T18:53:19 -23.7354561969198 100.952308246014
2024-09-21T18:53:30 -24.3922002094728 100.883873328225
2024-09-21T18:53:39 -25.0487975621165 100.814297780936
2024-09-21T18:53:49 -25.7052436788021 100.743534632903
2024-09-21T18:54:00 -26.3615339092761 100.671535297107
2024-09-21T18:54:09 -27.017663523336 100.598248978428
2024-09-21T18:54:19 -27.6736277046822 100.523623580587
2024-09-21T18:54:30 -28.3294215443315 100.447605107929
2024-09-21T18:54:39 -28.985040033568 100.370137044799
2024-09-21T18:54:50 -29.6404780563934 100.291161427727
2024-09-21T18:55:00 -30.2957303814385 100.210617369637
2024-09-21T18:55:09 -30.9507916533019 100.128442117374
2024-09-21T18:55:20 -31.6056563832675 100.044570401655
2024-09-21T18:55:30 -32.2603189393577 99.9589337945353
2024-09-21T18:55:39 -32.9147735356673 99.8714615568062
2024-09-21T18:55:50 -33.569014220928 99.7820799705823
2024-09-21T18:56:00 -34.2230348662383 99.6907116608161
2024-09-21T18:56:09 -34.8768291518962 99.5972764093849
2024-09-21T18:56:20 -35.5303905532595 99.5016904567953
2024-09-21T18:56:29 -36.1837123255603 99.4038657735477
2024-09-21T18:56:39 -36.8367874875788 99.3037108474177
2024-09-21T18:56:50 -37.4896088040921 99.2011299232333
2024-09-21T18:56:59 -38.142168766987 99.0960222411199
2024-09-21T18:57:09 -38.7944595749267 98.9882827548707
2024-09-21T18:57:20 -39.4464731114434 98.8778013247266
2024-09-21T18:57:29 -40.0982009213234 98.7644618872722
2024-09-21T18:57:39 -40.7496341851288 98.6481431050282
2024-09-21T18:57:50 -41.4007636916919 98.528717489438
2024-09-21T18:57:59 -42.0515798083934 98.4060504779916
2024-09-21T18:58:10 -42.7020724490264 98.280001178445
2024-09-21T18:58:20 -43.3522310390129 98.150420536857
2024-09-21T18:58:29 -44.0020444777277 98.0171520079855
2024-09-21T18:58:40 -44.6515010976491 97.880030484059
2024-09-21T18:58:50 -45.3005886200259 97.7388811936092
2024-09-21T18:58:59 -45.949294106721 97.5935200489703
2024-09-21T18:59:10 -46.597603907843 97.4437524334673
2024-09-21T18:59:20 -47.245503604743 97.289371927287
2024-09-21T18:59:29 -47.8929779478943 97.130160470397
2024-09-21T18:59:40 -48.5400107891254 96.9658869516241
2024-09-21T18:59:50 -49.1865850076021 96.796305699341
2024-09-21T18:59:59 -49.8326824288905 96.6211564125284
2024-09-21T19:00:10 -50.4782837363441 96.4401624604905
2024-09-21T19:00:19 -51.1233683739646 96.2530290878094
2024-09-21T19:00:29 -51.7679144397783 96.0594429955891
2024-09-21T19:00:40 -52.411898568646 95.8590702814078
2024-09-21T19:00:49 -53.055295803282 95.6515542272496
2024-09-21T19:00:59 -53.6980794520964 95.4365144227486
2024-09-21T19:01:10 -54.3402209322863 95.2135442003522
2024-09-21T19:01:19 -54.9816895963881 94.9822078435805
2024-09-21T19:01:29 -55.6224525402523 94.742039091021
2024-09-21T19:01:40 -56.262474390119 94.4925378468145
2024-09-21T19:01:49 -56.9017170661366 94.2331666060766
2024-09-21T19:02:00 -57.5401395192815 93.9633482319587
2024-09-21T19:02:10 -58.1776974381911 93.6824608253872
2024-09-21T19:02:19 -58.8143429218983 93.3898347154164
2024-09-21T19:02:30 -59.4500241138459 93.0847472775906
2024-09-21T19:02:40 -60.0846847918542 92.766417235228
2024-09-21T19:02:49 -60.7182639078728 92.4339998563121
2024-09-21T19:03:00 -61.3506950703784 92.0865799697211
2024-09-21T19:03:10 -61.9819059611261 91.7231641932052
2024-09-21T19:03:19 -62.6118176766086 91.3426738094549
2024-09-21T19:03:30 -63.240343982983 90.943935131607
2024-09-21T19:03:40 -63.8673904713365 90.5256687266295
2024-09-21T19:03:49 -64.4928535979277 90.0864788809323
